,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Last Last,Last Last,Burna Boy,2022-05-12,172342,65,0.795,0.131,0.565,0.0,0.0802,-4.457,0.0948,87.925,4
1,Stand Strong (feat. Sunday Service Choir),Stand Strong (feat. Sunday Service Choir),Davido,2022-05-13,182791,60,0.474,0.379,0.691,1.55e-05,0.135,-5.026,0.098,94.622,4
2,PALAZZO,PALAZZO,SPINALL,2022-05-13,186002,59,0.819,0.0534,0.659,0.0,0.0435,-9.024,0.0973,116.054,4
3,Overloading (OVERDOSE),Overloading (OVERDOSE),Mavins,2022-05-13,205000,51,0.546,0.484,0.611,0.00149,0.101,-9.459,0.172,104.059,4
4,Thai Food,Thai Food,Ria Sean,2022-05-13,150720,26,0.559,0.298,0.524,1.15e-05,0.202,-7.904,0.247,111.123,5
5,Jo,Jo,Yung L,2022-05-13,183673,36,0.614,0.04,0.514,5.08e-06,0.0953,-7.411,0.228,124.341,5
6,2AM In Da Club,2AM In Da Club,Clemzy,2022-05-13,151836,32,0.776,0.106,0.74,2.82e-06,0.131,-6.607,0.141,98.033,4
7,Who U,Who U,Magnito,2022-05-13,173571,35,0.883,0.267,0.673,0.0,0.343,-9.047,0.156,111.978,4
8,Vibes,Vibes,Waje,2022-05-13,132074,31,0.747,0.228,0.722,0.0,0.337,-6.981,0.147,100.01,4
9,Chop & Slide,Outlaw,Victony,2022-05-06,168667,50,0.583,0.72,0.474,1.52e-05,0.0889,-6.247,0.163,60.62,5
10,Buga,Buga,Kizz Daniel,2022-05-03,183103,64,0.92,0.296,0.716,0.00222,0.104,-7.104,0.105,115.991,4
11,On a Base to Score,On a Base to Score,Nanle,2022-04-19,177631,24,0.78,0.0153,0.696,0.00205,0.13,-5.855,0.188,75.905,4
12,o'dun,o'dun,Naira Marley,2022-05-04,155014,49,0.784,0.29,0.83,0.152,0.0713,-5.656,0.0496,114.0,4
13,Kilometer - Remix,Kilometer (Remix),BNXN fka Buju,2022-04-21,206280,54,0.882,0.456,0.86,0.00204,0.0766,-4.854,0.0597,119.018,4
14,All Power,Outlaw,Victony,2022-05-06,192284,45,0.725,0.46,0.775,0.193,0.0867,-6.919,0.0851,109.98,4
15,Feel Alright,Vibes $ Company,Beejvibe$,2022-05-06,134702,16,0.499,0.0135,0.75,0.0,0.153,-4.702,0.228,109.536,4
16,Monica,Monica,Larry Gaaga,2022-05-06,219428,42,0.799,0.28,0.662,0.0,0.072,-5.201,0.224,105.045,4
17,Àjàlá Travel (Remix),Àjàlá Travel (Remix),Oladips,2022-05-06,199439,29,0.524,0.86,0.517,0.000837,0.141,-9.507,0.223,136.426,5
18,Billz,Billz,Victor AD,2022-05-06,152684,34,0.643,0.6,0.544,0.0,0.179,-4.628,0.13,94.321,4
19,Don't Call Me (feat. Zinoleesky),Don't Call Me (feat. Zinoleesky),Lil Kesh,2021-12-02,178983,60,0.876,0.044,0.834,3.93e-05,0.0874,-5.768,0.0454,117.986,4
20,Chop Life,Chop Life,Ceeza Milli,2022-04-14,179855,43,0.482,0.244,0.71,0.0,0.123,-2.333,0.301,66.773,5
21,For Here,In Transit,Terri,2022-04-22,176901,43,0.858,0.182,0.573,3.2e-05,0.112,-8.157,0.0802,114.012,4
22,WYD,WYD,Killertunes,2022-04-21,175200,43,0.513,0.794,0.49,1.94e-06,0.323,-6.796,0.18,93.94,4
23,Awolowo,Gbagada Express,Boj,2022-04-22,168247,45,0.605,0.301,0.575,0.0,0.113,-6.16,0.199,129.598,5
24,Big Thug Boys (feat. Jireel),Big Thug Boys (feat. Jireel),AV,2022-04-15,163006,49,0.829,0.19,0.692,0.000297,0.114,-5.294,0.206,107.986,4
25,Owo Ni Koko,Gbagada Express,Boj,2022-04-22,179347,56,0.793,0.489,0.607,0.0,0.259,-7.141,0.192,91.992,4
26,Long Time,Long Time,Ceeza Milli,2022-04-14,191482,40,0.492,0.243,0.754,0.0,0.103,-7.8,0.252,115.753,5
27,Oro Aje,Oro Aje,Oritse Femi,2022-04-22,238680,35,0.537,0.0623,0.883,0.000152,0.295,-3.952,0.101,115.063,4
28,Overdose,Overdose,Reminisce,2022-04-15,158000,37,0.872,0.293,0.694,0.0,0.16,-5.595,0.0388,111.997,4
29,Hosanna,Hosanna,Masterkraft,2022-04-15,197795,41,0.86,0.0717,0.627,6.77e-05,0.0439,-10.277,0.053,107.99,4
30,Like a Queen - Remix,Like a Queen (Remix),Ric Hassani,2022-04-13,158956,38,0.937,0.854,0.538,9.14e-05,0.492,-7.015,0.0779,100.019,4
